type,id,geometry.type,geometry.coordinates,properties.xid,properties.name,properties.dist,properties.rate,properties.osm,properties.kinds,properties.wikidata
Feature,2091795,Point,"[1.3082033, 45.1277618]",W137128691,,6663.68087493,0,way/137128691,"cemeteries,historic,burial_places,interesting_places",
Feature,2091731,Point,"[1.1932479, 45.1611214]",N4909508277,,6712.61973251,0,node/4909508277,"other,unclassified_objects,interesting_places,historic_object",
Feature,2091654,Point,"[1.1735225, 45.0600967]",N4899850080,,6748.51761525,0,node/4899850080,"other,unclassified_objects,interesting_places,historic_object",
Feature,15346192,Point,"[1.162222, 45.0675011]",Q103185091,Montignac (Samian Ware Discovery Site),6807.7118599,1,,"historic,archaeology,interesting_places,other_archaeological_sites",Q103185091
Feature,15417203,Point,"[1.1629722, 45.066082]",Q22920018,maison à galerie,6863.6732632,6,,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Q22920018
Feature,11541003,Point,"[1.1624699, 45.0664177]",W188895045,Église Saint-Pierre-ès-Liens de Montignac,6869.58234349,7,way/188895045,"religion,churches,interesting_places,catholic_churches",Q3583682
Feature,2091646,Point,"[1.1643074, 45.0648918]",N8983911801,,6872.31980218,0,node/8983911801,"cultural,urban_environment,interesting_places,sculptures",
Feature,14502409,Point,"[1.1641389, 45.0649986]",Q22920012,hôpital de Montignac,6874.10777112,6,,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Q22920012
Feature,15417191,Point,"[1.1626945, 45.0660019]",Q22920013,"maison, quai Merilhou",6886.30510981,5,,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Q22920013
Feature,16231636,Point,"[1.1638334, 45.0649719]",Q60343390,Couvent des Clarisses,6894.08753009,2,,"religion,churches,interesting_places,other_churches",Q60343390
Feature,14502410,Point,"[1.1625556, 45.0659714]",Q22920014,"maison, quai Merilhou",6896.62009271,6,,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Q22920014
Feature,16101714,Point,"[1.1624445, 45.0659447]",Q22920016,"maison, quai Merilhou",6905.2758954,6,,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Q22920016
Feature,5716615,Point,"[1.1636724, 45.0648956]",W188896547,Salle Jean Macé,6909.21931258,1,way/188896547,"religion,other_temples,interesting_places",
Feature,2091662,Point,"[1.1791869, 45.0552063]",N4345414421,Parc à Ours,6907.59375013,1,node/4345414421,"other,unclassified_objects,interesting_places,tourist_object",
Feature,6163297,Point,"[1.1785536, 45.0553284]",W188896657,,6924.99314071,0,way/188896657,"cultural,museums,interesting_places,other_museums",
Feature,2091656,Point,"[1.1785131, 45.055172]",N5767488825,Fouilles,6941.27931613,1,node/5767488825,"historic,archaeology,interesting_places,other_archaeological_sites",
Feature,11725634,Point,"[1.1788046, 45.0549736]",N4345414420,Le Régourdou,6946.32063208,7,node/4345414420,"historic,archaeology,geological_formations,natural,interesting_places,other_archaeological_sites,caves",Q581818
Feature,16002519,Point,"[1.1637501, 45.0641899]",Q60345666,Chapelle de l'ancien prieuré,6957.20185119,2,,"religion,churches,interesting_places,other_churches",Q60345666
Feature,2091645,Point,"[1.1637377, 45.0640984]",N8983911806,,6964.90076781,0,node/8983911806,"cultural,urban_environment,interesting_places,installation",
Feature,14502408,Point,"[1.163667, 45.0641098]",Q22920010,Ancien hôpital Saint-Jean de Montignac,6967.94634557,6,,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Q22920010
Feature,11541006,Point,"[1.3125709, 45.1278687]",N1504183554,Château du Fraysse,6989.70329412,6,node/1504183554,"fortifications,historic,interesting_places,castles",Q22996182
